nombre_apellido,anho_nacimiento,peliculas,que_hace,premios
Kevin James,"April 26, 1965","['Solo Mio', 'Playdate', 'Guns Up', 'Geek Girls Universe Podcast', 'Jugar en casa', 'Sound Guy Gets Intimate with Kevin James', 'En los boxes', 'All In', 'Sound Guy', 'El Halloween de Hubie']",ActorProducerWriter,"['2006 Nominee Primetime Emmy', ""2017 Nominee People's Choice Award"", '2016 Nominee Razzie Award', '2016 Nominee Razzie Award']"
Constance Zimmer,"October 11, 1970","['My Guide to Becoming a Rock Star', 'St. Sebastian', 'Guardian Asshole', 'Krapopolis', 'Refugio', 'The Calling', 'Big Sky', 'Good Trouble', 'The Shadow Diaries', 'Victory the Podcast']",ActressDirectorProducer,
Roger Bart,"September 29, 1962","['The last dinner', 'Captain Daddy', 'tick, tick... Boom!', 'Good Trouble', 'The Blacklist', 'The Good Fight', 'Bayou Tales', 'Una serie de catastróficas desdichas', 'Ghost Light', 'Elementary']",ActorSoundtrack,"['1998 Nominee Oscar', '1998 Nominee Saturn Award', '1997 Nominee Annie', '1997 Winner Annie']"
Marion Ramsey,"May 10, 1947","['When I Sing', '3rd Eye', '2 Lava 2 Lantula!', 'Lavalántula', ""Wal-Bob's"", 'Return to Babylon', 'Who Killed Soul Glow?', 'DaZe: Vol. Too (sic) - NonSeNse', 'Tim and Eric Awesome Show, Great Job!', 'The Stolen Moments of September']",ActressMake-Up DepartmentSoundtrack,
Charlie Sheen,"September 3, 1965","['Ramble On', 'Bookie', 'Tim Montana: Mostly Stoned', 'Lil Pump: Drug Addicts', 'Saturday Night Live: Cut for Time', 'Typical Rick', '9/11', 'Mad Families', 'Dimitri Vegas & Like Mike vs. Ummet Ozcan: The Hum', '#Cybriety']",ActorProducerWriter,"['2012 Nominee ALMA Award', '2009 Nominee ALMA Award', '2008 Winner ALMA Award', '2002 Nominee ALMA Award']"
Jeff Bridges,"December 4, 1949","['Tron 3', 'The Carnival at the End of Days', 'Grendel', 'The Old Man', 'Stella Artois: Change Up the Usual', 'The Late Show with Stephen Colbert', 'Malos tiempos en El Royale', 'Héroes en el infierno', 'Kingsman: El círculo de oro', 'Canción de Nueva York']",ActorProducerArt Department,"['2017 Nominee Oscar', '2011 Nominee Oscar', '2010 Winner Oscar', '2001 Nominee Oscar']"
Ford Kiernan,"January 10, 1962","['Ladybaby', 'Entonces llegaste tú', 'Still Game', 'Doctors', 'Inspector George Gently', 'The Field of Blood', 'La parte de los ángeles', 'Songs for Amy', 'Sir Billi', 'The Comic Strip Presents...']",ActorWriterProducer,"['2013 Nominee BAFTA Scotland Award', '2011 Nominee BAFTA Scotland Award', '2007 Nominee BAFTA Scotland Award', '2004 Winner BAFTA Scotland Award']"
Stephanie Young,April 3,"['Kenka Dokugaku', 'Shangri-La Frontier: Crappy Game Hunter Challenges God-Tier Game', 'I Got a Cheat Skill in Another World and Became Unrivaled in the Real World, Too', 'My Hero Academia', 'Spy x Family', 'Koukyuu no Karasu', 'One Piece Film Red', 'Date a Live', ""Tiny Tina's Wonderlands"", 'Ataque a los titanes']",ActressSoundtrackMusic Artist,
Pat Morita,"June 28, 1932","['First Years', 'Rice Girl Goes Hollywood', 'Rice Girl', 'Blunt Movie', 'Act Your Age', 'Remove All Obstacles', 'Royal Kill', 'Kingdom Hearts II: Final Mix+', 'Bob Esponja', '18 Fingers of Death!']",ActorWriterProducer,"['1985 Nominee Oscar', '1985 Nominee Golden Globe', '1985 Winner Young Artist Award', '1985 Nominee Young Artist Award']"
Brittany Snow,"March 9, 1986","['The Hunting Wives', 'El agente nocturno', 'Stripped', 'Cupid & Me', ""It's Christmas!"", ""Barron's Cove"", 'Big Nickel', 'Red, White and Blue', 'The Good Half', 'Casi muertos']",ActressProducerDirector,"['2024 Nominee American Independents Competition', '2023 Nominee American Independent Award', '2023 Nominee SXSW Grand Jury Award', '2023 Winner Special Jury Award']"
Crispin Glover,April 20,"['Mr. K', 'Untitled Crispin Hellion Glover Project', 'A Blind Bargain', 'El gabinete de curiosidades de Guillermo del Toro', 'Red Bird Lane', 'American Gods', 'Smiley Face Killers', 'Lucky Day', 'By the Rivers of Babylon', 'Saat des Terrors']",ActorDirectorWriter,"['2004 Nominee Saturn Award', '1986 Nominee Saturn Award', '2005 Winner Jury Award', '2007 Winner New Visions Award - Special Mention']"
Steve Carell,"August 16, 1962","['Untitled Steve Carell/HBO series', 'Misadventure', 'The Four Seasons', 'Gru 4. Mi villano favorito', 'Amigos imaginarios', 'The Office: Superfan Episodes', 'Asteroid City', 'El paciente', 'Minions: El origen de Gru', 'Space Force']",ActorProducerWriter,"['2015 Nominee Oscar', '2015 Nominee Oscar', '2015 Nominee Oscar', '2015 Nominee Oscar']"
Selena Gomez,"July 22, 1992","['Solo asesinatos en el edificio', 'Wizards', 'Spiral', 'In the Shadow of the Mountain', 'Emilia Perez', 'Selena Gomez: Love On', 'Solo asesinatos en el edificio', 'Selena Gomez: Single Soon', 'Rema & Selena Gomez: Calm Down', 'Coldplay X Selena Gomez: Let Somebody Go']",Music ArtistActressMusic Department,"['2011 Nominee ALMA Award', '2011 Nominee ALMA Award', '2011 Nominee ALMA Award', '2009 Winner ALMA Award']"
